"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YAL067C",2109.90392461918,-1.55168266505,0.104235691262301,-14.8862893914649,4.04610207793218e-50,4.70480451566552e-49,"Down"
"YAL044C",14312.1001759638,-1.33724100860445,0.0541853888801238,-24.6789962431178,1.79785734011812e-134,4.95706167926019e-133,"Down"
"YNCA0001W",40.3646020064168,-1.51815593756037,0.292290687853911,-5.19399351620518,2.05830312024446e-07,5.22982933650847e-07,"Down"
"YAL012W",18419.4378288739,-2.80325376508927,0.0690020649512654,-40.6256503637846,0,0,"Down"
"YAR009C",117.959549060085,-1.9353492527847,0.188059909135359,-10.2911314893367,7.72630501795654e-25,4.75476509584577e-24,"Down"
"YNCA0004W",10.2007162459214,-2.7177958548871,0.67826473130932,-4.00698389497664,6.14990547827926e-05,0.000123349756003352,"Down"
"YBL100W-B",492.931422036092,-1.23738691676857,0.106841536182083,-11.58151558828,5.11339341259167e-31,3.92296063269791e-30,"Down"
"YBL005W-B",417.326188063664,-1.45993270183918,0.128928638941235,-11.3235718132773,1.00300259907969e-29,7.32981297521896e-29,"Down"
"YBR012W-B",270.239757108588,-1.16526812659306,0.117220171064602,-9.94084990671839,2.76458226556594e-23,1.58976069442471e-22,"Down"
"YNCB0009C",28.5572926720504,-1.27645041879143,0.340767674134887,-3.74580840753741,0.000179813789567848,0.000342486958471008,"Down"
"YBR047W",1735.86475061688,-1.59960356539805,0.0704657869167758,-22.7004286106572,4.43649492473632e-114,1.03365420497362e-112,"Down"
"YBR085W",2627.19017084199,-1.16353771281879,0.0920815380040949,-12.6359500290606,1.33768650737451e-36,1.14757508254928e-35,"Down"
"YBR092C",18891.6570927541,-3.24614955048014,0.0780007932306858,-41.6168787012168,0,0,"Down"
"YBR104W",4071.18334845474,-1.43380029802784,0.0532178255062412,-26.9421060403847,7.05842053830108e-160,2.38325493469695e-158,"Down"
"YBR145W",8917.35515431914,-1.33896031464491,0.0655924672243279,-20.4133244457117,1.27322918271488e-92,2.45096617672614e-91,"Down"
"YBR158W",9655.36938971747,-1.67097216749352,0.0511652365582572,-32.6583492991562,6.09942797063111e-234,3.37822703566358e-232,"Down"
"YBR213W",2060.39235034342,-3.3144387588095,0.0818632789977969,-40.4874908431007,0,0,"Down"
"YBR240C",6992.19965838125,-2.49740897211952,0.0905811139445117,-27.5709677587912,2.48112740586563e-167,9.00335542565264e-166,"Down"
"YBR248C",9481.80579495282,-1.07899108254445,0.0510634354236689,-21.1304052222916,4.17945204372655e-99,8.45803211669532e-98,"Down"
"YBR256C",11509.3537071146,-1.62131514671529,0.0570894359765651,-28.3995649804778,2.04728533385756e-177,7.97935777652879e-176,"Down"
