"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YAL068C",121.58355908429,-0.0378105804352668,0.174574217070045,-0.216587426653593,0.828529885238411,0.86183487568292,"Not Significant"
"YAL067W-A",5.94061001075503,0.433356462355717,0.686263500375301,0.631472403994566,0.527731687442696,0.592267663439954,"Not Significant"
"YAL067C",2109.90392461918,-1.55168266505,0.104235691262301,-14.8862893914649,4.04610207793218e-50,4.70480451566552e-49,"Down"
"YAL065C",51.2650747649214,-0.333726076853882,0.237187529083479,-1.40701359023149,0.159423358938607,0.206397188504893,"Not Significant"
"YAL064W-B",60.499241510369,-0.346352290483168,0.223210234397636,-1.55168642431584,0.120737272569859,0.159852199414152,"Not Significant"
"YAL064C-A",140.129142922315,-0.0177279509703494,0.156402627488466,-0.113348165916565,0.909754532380577,0.92767928253407,"Not Significant"
"YAL064W",9.70187464599396,0.261027174400651,0.549813864277962,0.474755533390272,0.634961230580817,0.693511306171484,"Not Significant"
"YAL063C-A",93.8466037114921,0.413714881992913,0.19278136300768,2.1460315226448,0.0318704638209633,0.0467433469374128,"Not Significant"
"YAL063C",458.039463108591,0.397585629599213,0.0888030777885966,4.47716047123614,7.56423924881033e-06,1.65147325784884e-05,"Not Significant"
"YAL062W",11958.8603480201,1.28964477038669,0.0446605967236614,28.8765682726184,2.35127306362339e-183,9.7670645550777e-182,"Up"
"YAL061W",2593.09093007385,-0.115664464467761,0.0678155388314065,-1.70557465826983,0.088087300984794,0.119970495776098,"Not Significant"
"YAL060W",6963.17310136999,0.636819413001437,0.0639483249839298,9.95834391536401,2.31893214448298e-23,1.33714498267265e-22,"Not Significant"
"YAL059W",1421.51144329576,0.286318997485825,0.0618355700719333,4.63032842024016,3.65086202428995e-06,8.21509010027326e-06,"Not Significant"
"YAL058W",1515.14522560794,-0.406139287679915,0.05751183848241,-7.06183802147331,1.64314462616528e-12,5.7959861282724e-12,"Not Significant"
"YAL056W",5913.52437950713,0.10023616151873,0.0443018510772492,2.26257276121371,0.02366203882274,0.0353196484933286,"Not Significant"
"YAL055W",1289.09234466791,0.474010055218265,0.0717758831734834,6.60402957456582,4.00129648724502e-11,1.30294925324729e-10,"Not Significant"
"YAL054C",2844.27246909058,1.58482703170363,0.072719344834293,21.7937473902577,2.65969965764484e-105,5.69265886046425e-104,"Up"
"YAL053W",6781.26801784142,0.508990562672263,0.0696065504365647,7.31239458757732,2.624231331064e-13,9.6840424455512e-13,"Not Significant"
"YAL051W",2292.94486175447,-0.034030374060308,0.0513731097546374,-0.662416081542272,0.507704600162192,0.572679372638448,"Not Significant"
"YAL049C",1272.22574562355,0.452315215798431,0.0649567242231382,6.96333168287005,3.32318153202858e-12,1.15036009831296e-11,"Not Significant"
"YAL048C",1453.73243463404,-0.238906462078691,0.0620527916326415,-3.85005179932984,0.000118092846938053,0.000229639123981172,"Not Significant"
"YAL047C",1218.60629299215,0.00146907341058917,0.061780553363005,0.0237788969282504,0.981028973101607,0.98715455897708,"Not Significant"
"YAL046C",1336.2182201845,0.453995501156924,0.0942088492343474,4.81903244596053,1.44256094953178e-06,3.38348062234163e-06,"Not Significant"
"YAL044W-A",2470.52086208692,0.772631824785166,0.0654575958237265,11.8035472440176,3.74197922295509e-32,2.94599212141377e-31,"Not Significant"
"YAL044C",14312.1001759638,-1.33724100860445,0.0541853888801238,-24.6789962431178,1.79785734011812e-134,4.95706167926019e-133,"Down"
"YAL043C",3399.79312981616,-0.319481568700705,0.0536069810605087,-5.95970081471461,2.52700154889078e-09,7.41770701055154e-09,"Not Significant"
"YAL042W",9056.22794626946,-0.293272516365451,0.0400790656203799,-7.31734914040321,2.52917209028664e-13,9.34964436655143e-13,"Not Significant"
"YAL041W",3834.22847091699,-0.24608923698247,0.0446587899145636,-5.51043226771845,3.57953534305748e-08,9.69591855687042e-08,"Not Significant"
"YAL040C",1859.64342664173,-0.324417955631792,0.0905973877129922,-3.58087538527636,0.000342444961469537,0.000637252427562233,"Not Significant"
