"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YAL067C",2109.90392461918,-1.55168266505,0.104235691262301,-14.8862893914649,4.04610207793218e-50,4.70480451566552e-49,"Down"
"YAL062W",11958.8603480201,1.28964477038669,0.0446605967236614,28.8765682726184,2.35127306362339e-183,9.7670645550777e-182,"Up"
"YAL054C",2844.27246909058,1.58482703170363,0.072719344834293,21.7937473902577,2.65969965764484e-105,5.69265886046425e-104,"Up"
"YAL044C",14312.1001759638,-1.33724100860445,0.0541853888801238,-24.6789962431178,1.79785734011812e-134,4.95706167926019e-133,"Down"
"YAL039C",7435.77445472862,1.87820846163308,0.0677407327981968,27.7264266867081,3.35361331007725e-169,1.24557143763693e-167,"Up"
"YNCA0001W",40.3646020064168,-1.51815593756037,0.292290687853911,-5.19399351620518,2.05830312024446e-07,5.22982933650847e-07,"Down"
"YAL018C",642.264011888652,1.00509622956996,0.139733224368396,7.19296526730174,6.33990749310832e-13,2.27573484431415e-12,"Up"
"YAL012W",18419.4378288739,-2.80325376508927,0.0690020649512654,-40.6256503637846,0,0,"Down"
"YAR009C",117.959549060085,-1.9353492527847,0.188059909135359,-10.2911314893367,7.72630501795654e-25,4.75476509584577e-24,"Down"
"YNCA0004W",10.2007162459214,-2.7177958548871,0.67826473130932,-4.00698389497664,6.14990547827926e-05,0.000123349756003352,"Down"
"YAR020C",1084.2406755009,1.86451252157564,0.0780833997671327,23.8784751577948,5.12647761483369e-126,1.30518466371209e-124,"Up"
"YBL100W-B",492.931422036092,-1.23738691676857,0.106841536182083,-11.58151558828,5.11339341259167e-31,3.92296063269791e-30,"Down"
"YBL099W",22375.2430769462,1.75084372663511,0.0510642779826808,34.2870553702715,1.22369852394018e-257,7.88411477567173e-256,"Up"
"YBL075C",7862.42909914687,2.50902427442849,0.0535653805334572,46.8404079172244,0,0,"Up"
