"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YAL068C",3.34259869422187,3.59675837914882,3.61899715591126,3.77381311359848,3.33520289601119,3.43015608277782
"YAL067W-A",0.732711345849766,0.563224321864757,0.942232171022977,0.685254678535509,1.20342090089684,0.96585412292858
"YAL067C",5.94896958408913,5.88567638304599,5.51426720492909,4.28872770026129,4.45723244054616,4.26399628756948
"YAL065C",2.54459249414647,2.56651341887904,2.29006257845426,2.12664782026491,2.41942262303652,2.18799440545595
"YAL064W-B",2.48381712882497,2.89340948496667,2.68315154943048,2.48137871673487,2.34242703099211,2.5244619934413
"YAL064C-A",3.69594974793812,3.74758118281628,3.43751528448144,3.74096608508873,3.47710261913748,3.76016484793854
"YAL064W",1.04181400871332,0.967268655345921,0.895353553394129,1.0496691220731,1.51245105676833,0.709713852160139
"YAL063C-A",3.04594693138173,3.20662605771551,3.48907036369246,3.64707413161974,3.88009363496213,3.45391687032616
"YAL063C",2.03097484666895,2.0784364339064,1.96445052029435,2.33268794562361,2.37606284451063,2.42041559287988
"YAL062W",7.34126939643376,7.2766481340635,7.26716040160877,8.65730699637236,8.63192749906515,8.59137576068872
"YAL061W",6.15856411563247,6.02752714794246,6.03721681598629,6.11142007559656,5.93842546585575,5.96705040473738
"YAL060W",7.29512528655196,7.18222503438608,7.13243223884252,7.97389907845518,7.81341999141983,7.86394900865014
"YAL059W",5.92678163350639,6.02675835232277,5.96797036497837,6.24987228444288,6.32985180889758,6.33450555573221
"YAL058W",5.14957149268402,5.17698942428499,5.22442923740131,4.82561786799176,4.85455125098302,4.82846911940717
"YAL056W",6.07328819273051,6.1166172139498,6.05246567627885,6.23293498819036,6.21706510497403,6.23132491781362
"YAL055W",6.05211203113289,5.97066467325001,5.8597668324213,6.5502879417984,6.43196256865413,6.44823875529393
"YAL054C",4.48992279184219,4.3740743688189,4.41526155464703,6.12125281529055,5.89349340145135,6.01385062127903
"YAL053W",6.12371680682645,6.20053592157928,6.32615626020597,6.75387501140785,6.68854418486402,6.86004537559348
"YAL051W",4.53904981094651,4.5883711892183,4.58960377875737,4.60063769541019,4.58817469964323,4.56660633216224
"YAL049C",5.51714993241125,5.43695645492322,5.59546988299439,6.008544765189,6.02843587097356,5.98249459002267
"YAL048C",4.67768233089993,4.64415419982643,4.68371039119985,4.40864732741963,4.55671821044431,4.49000285773452
"YAL047C",4.41025905480073,4.38711886424396,4.40706604082264,4.4499679117323,4.50371958867099,4.3870355822284
"YAL046C",6.61525819553251,6.57934077611495,6.67422629759828,7.24319822269612,6.88544994578962,7.2027101449326
"YAL044W-A",7.44137528220922,7.37897605403416,7.41372545702601,8.3130542666529,8.12217197381934,8.23988001626605
"YAL044C",10.3442186439681,10.2283883299172,10.238192498145,9.04963250011155,8.95050391531952,8.94627743431719
"YAL043C",5.60837794612598,5.68505470551841,5.6753881190293,5.43170139307092,5.34235097694232,5.39547170237102
"YAL042W",7.93576560528144,7.95025147814762,7.97332157066078,7.69765051581978,7.71884028147888,7.70948016925785
"YAL041W",5.67274634891118,5.68991932255841,5.66253956533439,5.48427252989751,5.4821570514723,5.47648857473232
"YAL040C",5.03273440750035,5.24428717762679,5.40207595727511,4.92723727040579,4.92456685416821,5.04091653425009
"YAL039C",6.84220286432879,6.90932536155726,7.0442778907351,8.93443730212191,8.77846532571456,8.83463493724545
"YAL038W",12.0860302662839,12.0677435184993,12.208488184384,12.0591423831437,12.165017247812,12.0789033954575
"YAL037C-A",5.00673095655905,4.94746463169702,5.27249521148118,5.17699618303388,5.43405805836217,5.10835424960842
"YAL037W",5.05974944004282,5.04122305201854,5.13528410832804,4.66558171941954,4.74089541914289,4.62103185325222
"YAL036C",6.14483605866331,6.30082635200557,6.34102156711521,6.35622402635596,6.43887442840009,6.49482010469172
"YAL035W",6.80123362596709,6.86136474077072,6.76163593947009,7.34657112553856,7.30025718223477,7.33412310228816
