"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YAL068C",107.334447300611,130.464608469509,132.795899088685,144.567438527702,102.568832532401,111.77012858683
"YAL067W-A",4.87883851366413,3.52607049917591,6.81004610711206,4.3544409195091,9.23119492791612,6.84306909715284
"YAL067C",3502.03028510812,3354.17456234108,2582.14248227999,1038.09871521097,1161.07918426678,1021.89831850816
"YAL065C",60.4975975694353,61.7062337355784,48.8053304343031,40.9317446433855,52.3101045915247,43.3394376153013
"YAL064W-B",56.5945267585039,79.3365862314579,66.9654533866019,54.8659555858146,48.2073512902286,57.025575809607
"YAL064C-A",147.340923112657,153.384066714152,121.445822243498,148.050991263309,120.00553406291,150.547520137362
"YAL064W",9.75767702732827,8.81517624793977,7.94505379163073,9.57977002292002,16.4110132051842,5.7025575809607
"YAL063C-A",68.3037391912979,77.57355098187,96.4756531840875,105.37747025212,124.108287364206,91.2409212953712
"YAL063C",396.161687309528,414.313283653169,373.417528206644,503.373370295252,516.946915963303,544.02399322365
"YAL062W",7160.18340265348,6854.68105039796,6815.72114553465,17382.9281506803,16896.1637830625,16643.4845557919
"YAL061W",2856.07206589898,2608.41065176538,2628.67779734525,2684.07738278541,2350.87764164264,2430.43004100545
"YAL060W",5798.01168963846,5366.67929974573,5188.12012593487,9038.07757253308,7996.26618422601,8391.88373614176
"YAL059W",1236.29767936249,1328.44706056452,1275.74863739899,1507.50744633405,1577.50864434833,1603.55919176615
"YAL058W",1683.19928721413,1718.95936834825,1779.69204932528,1296.75250582981,1309.80399143877,1302.46415149142
"YAL056W",5669.21035287772,5853.27702863201,5600.12791541515,6161.53390110537,6027.97028792923,6169.02679108328
"YAL055W",1147.5028184138,1085.14819612139,1004.48180079903,1581.5329419657,1440.06640875492,1475.82190195263
"YAL054C",1487.06997896483,1368.99687130505,1411.94955954123,4616.57826286355,3890.43581795398,4290.60432391483
"YAL053W",5227.18758353975,5525.35247220865,6040.51089700839,7899.8267161734,7465.9853200335,8528.74511808482
"YAL051W",2261.82953493469,2347.48143482636,2351.7359223227,2297.403029133,2252.41156241153,2246.80768689851
"YAL049C",1073.34447300611,1015.50830376266,1137.27769988771,1475.28458352968,1480.06825344255,1451.87116011259
"YAL048C",1581.71944612991,1546.18191388864,1592.4157813797,1264.52964302544,1392.88474579001,1344.66307759053
"YAL047C",1224.5884669297,1205.91611071816,1224.67329159565,1224.46878656596,1259.54526349789,1172.44583864552
"YAL046C",1120.18132273728,1093.96337236933,1170.19292273875,1687.78130040173,1300.57279651085,1644.61760634906
"YAL044W-A",1860.7890091115,1784.19167258301,1829.63238744411,3316.34220429813,2872.95299923256,3159.21689985223
