"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901605","alpha-amino acid metabolic process","64/594","165/6447",0.387878787878788,4.20985613712886,13.3053923401459,1.6588535706255e-25,1.43604723811082e-22,1.22068217799884e-22,"YAL062W/YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR019C/YDR148C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR087C/YGR155W/YGR204W/YHR018C/YHR033W/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR110C/YMR189W/YNL277W/YNL135C/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C",64
"GO:1901607","alpha-amino acid biosynthetic process","53/594","116/6447",0.456896551724138,4.95894287704632,13.7063300133252,2.45688150232818e-25,1.43604723811082e-22,1.22068217799884e-22,"YAL062W/YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR033W/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL135C/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C",53
"GO:0170039","proteinogenic amino acid metabolic process","60/594","150/6447",0.4,4.34141414141414,13.1904071197598,8.63501872189566e-25,3.36477896196534e-22,2.86016058718228e-22,"YAL062W/YAL044C/YBR248C/YCL030C/YDL182W/YDL066W/YDR019C/YDR148C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR087C/YGR155W/YGR204W/YHR018C/YHR033W/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR110C/YMR189W/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C",60
"GO:0170038","proteinogenic amino acid biosynthetic process","50/594","109/6447",0.458715596330275,4.97868594198869,13.3452250493934,4.77019518624328e-24,1.23615046002207e-21,1.05076406668843e-21,"YAL062W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR204W/YHR018C/YHR033W/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C",50
"GO:0170034","L-amino acid biosynthetic process","49/594","105/6447",0.466666666666667,5.06498316498316,13.3779445963645,5.28721325929028e-24,1.23615046002207e-21,1.05076406668843e-21,"YAL062W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR204W/YHR018C/YHR033W/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C",49
"GO:0008652","amino acid biosynthetic process","53/594","124/6447",0.42741935483871,4.63901107852721,13.0341207618678,1.26334645805688e-23,2.46142001578082e-21,2.09227904632578e-21,"YAL062W/YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR033W/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL135C/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C",53
"GO:0170033","L-amino acid metabolic process","58/594","148/6447",0.391891891891892,4.2534125034125,12.7550832040297,1.90333807127619e-23,3.17857457903124e-21,2.70188141245823e-21,"YAL062W/YBR248C/YCL030C/YDL182W/YDL066W/YDR148C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR087C/YGR155W/YGR204W/YHR018C/YHR033W/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR110C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C",58
"GO:1902600","proton transmembrane transport","49/594","108/6447",0.453703703703704,4.92428918817808,13.1012162960542,2.55181158872917e-23,3.7288346840305e-21,3.16961860494781e-21,"YBL099W/YBL045C/YBR039W/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR092C/YHR094C/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR136C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",49
"GO:0015980","energy derivation by oxidation of organic compounds","62/594","170/6447",0.364705882352941,3.95834818775995,12.4522202891076,4.87804117165018e-23,6.33603347739896e-21,5.38581387840675e-21,"YAL054C/YBL045C/YBL030C/YBR085W/YBR145W/YDL085W/YDL066W/YDR148C/YDR178W/YDR298C/YDR529C/YEL039C/YEL024W/YEL011W/YER054C/YER067W/YFR017C/YFR033C/YFR049W/YGL256W/YGL191W/YGL187C/YGR183C/YGR244C/YHR001W-A/YHR051W/YIL125W/YIL057C/YIL045W/YIL024C/YJL166W/YJL116C/YJR048W/YJR120W/YJR121W/YKL148C/YKL141W/YKL127W/YKL109W/YKL093W/YKL085W/YLL041C/YLR038C/YLR134W/YLR395C/YML120C/YMR081C/YMR105C/YMR118C/YMR145C/YMR256C/YNL117W/YNL052W/YOR065W/YOR178C/YOR356W/YPL271W/YPR184W/YPR191W/Q0055/Q0105/Q0120",62
"GO:0098662","inorganic cation transmembrane transport","62/594","175/6447",0.354285714285714,3.84525252525252,12.1558666716287,2.90693601331061e-22,3.3982081995601e-20,2.88857641743706e-20,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR377W/YDR529C/YDR536W/YEL069C/YEL065W/YEL024W/YER145C/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHL047C/YHL040C/YHR001W-A/YHR051W/YHR092C/YHR094C/YHR096C/YIL121W/YJL166W/YJR121W/YKL217W/YKL175W/YKL016C/YLR034C/YLR038C/YLR130C/YLR136C/YLR295C/YLR395C/YML120C/YML081C-A/YMR058W/YMR256C/YMR301C/YNL318C/YNL052W/YNR002C/YNR072W/YOL158C/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",62
"GO:0098660","inorganic ion transmembrane transport","66/594","198/6447",0.333333333333333,3.61784511784512,11.9184668316255,5.78050706165055e-22,6.14310250460863e-20,5.22181690545275e-20,"YBL099W/YBL045C/YBR039W/YBR294W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR377W/YDR529C/YDR536W/YEL069C/YEL065W/YEL024W/YER145C/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHL047C/YHL040C/YHR001W-A/YHR051W/YHR092C/YHR094C/YHR096C/YIL121W/YJL166W/YJR077C/YJR121W/YKL217W/YKL175W/YKL120W/YKL016C/YLR034C/YLR038C/YLR092W/YLR130C/YLR136C/YLR295C/YLR395C/YML120C/YML081C-A/YMR058W/YMR256C/YMR301C/YNL318C/YNL052W/YNR002C/YNR072W/YOL158C/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",66
"GO:0006091","generation of precursor metabolites and energy","69/594","218/6447",0.31651376146789,3.4352932999722,11.6525095170773,1.76876215076161e-21,1.7230691285336e-19,1.46465918449032e-19,"YAL054C/YBL045C/YBL030C/YBR085W/YBR117C/YBR145W/YCL040W/YDL085W/YDL066W/YDR148C/YDR178W/YDR298C/YDR516C/YDR529C/YEL039C/YEL024W/YEL011W/YER054C/YER067W/YFR017C/YFR033C/YFR049W/YFR053C/YGL256W/YGL191W/YGL187C/YGR043C/YGR183C/YGR244C/YGR256W/YHR001W-A/YHR051W/YIL125W/YIL057C/YIL045W/YIL024C/YJL166W/YJL116C/YJR048W/YJR120W/YJR121W/YKL148C/YKL141W/YKL127W/YKL109W/YKL093W/YKL085W/YLL041C/YLR038C/YLR134W/YLR395C/YML120C/YMR081C/YMR105C/YMR118C/YMR145C/YMR256C/YNL117W/YNL052W/YOR065W/YOR178C/YOR356W/YPL271W/YPL061W/YPR184W/YPR191W/Q0055/Q0105/Q0120",69
"GO:0034220","monoatomic ion transmembrane transport","63/594","188/6447",0.335106382978723,3.63708897485493,11.689618636717,3.91094144870571e-21,3.51683888733614e-19,2.98941597374752e-19,"YBL099W/YBL045C/YBR039W/YBR294W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR377W/YDR529C/YDR536W/YEL069C/YEL065W/YEL024W/YER145C/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHL047C/YHL040C/YHR001W-A/YHR051W/YHR092C/YHR094C/YHR096C/YIL121W/YJL166W/YJR121W/YKL217W/YKL175W/YKL016C/YLR034C/YLR038C/YLR092W/YLR130C/YLR136C/YLR295C/YLR395C/YML120C/YML081C-A/YMR058W/YMR256C/YMR301C/YNL318C/YNL052W/YNR072W/YOL158C/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",63
"GO:0098655","monoatomic cation transmembrane transport","61/594","178/6447",0.342696629213483,3.71946998070594,11.7204489182248,4.68440390332573e-21,3.91147725927699e-19,3.32487013890187e-19,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR377W/YDR529C/YDR536W/YEL069C/YEL065W/YEL024W/YER145C/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHL047C/YHL040C/YHR001W-A/YHR051W/YHR092C/YHR094C/YHR096C/YIL121W/YJL166W/YJR121W/YKL217W/YKL175W/YKL016C/YLR034C/YLR038C/YLR130C/YLR136C/YLR295C/YLR395C/YML120C/YML081C-A/YMR058W/YMR256C/YMR301C/YNL318C/YNL052W/YNR072W/YOL158C/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",61
