"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","generation of precursor metabolites and energy","64/299","218/6447",0.293577981651376,6.33009112945292,17.6549922394082,1.60042715487587e-35,1.42277974068465e-32,1.22306327835777e-32,"YAL054C/YBL045C/YBL030C/YBR117C/YCL040W/YDL085W/YDR148C/YDR178W/YDR298C/YDR516C/YDR529C/YEL039C/YEL024W/YEL011W/YER054C/YER067W/YFR017C/YFR033C/YFR049W/YFR053C/YGL256W/YGL191W/YGL187C/YGR043C/YGR183C/YGR244C/YGR256W/YHR001W-A/YHR051W/YIL125W/YIL057C/YIL045W/YIL024C/YJL166W/YJL116C/YJR048W/YJR120W/YJR121W/YKL148C/YKL141W/YKL109W/YKL093W/YKL085W/YLL041C/YLR038C/YLR395C/YML120C/YMR081C/YMR105C/YMR118C/YMR145C/YMR256C/YNL117W/YNL052W/YOR065W/YOR178C/YOR356W/YPL271W/YPL061W/YPR184W/YPR191W/Q0055/Q0105/Q0120",64
"GO:0015980","energy derivation by oxidation of organic compounds","57/299","170/6447",0.335294117647059,7.22956915207555,18.1518219457326,4.32361556009604e-35,1.92184711646269e-32,1.65207626138406e-32,"YAL054C/YBL045C/YBL030C/YDL085W/YDR148C/YDR178W/YDR298C/YDR529C/YEL039C/YEL024W/YEL011W/YER054C/YER067W/YFR017C/YFR033C/YFR049W/YGL256W/YGL191W/YGL187C/YGR183C/YGR244C/YHR001W-A/YHR051W/YIL125W/YIL057C/YIL045W/YIL024C/YJL166W/YJL116C/YJR048W/YJR120W/YJR121W/YKL148C/YKL141W/YKL109W/YKL093W/YKL085W/YLL041C/YLR038C/YLR395C/YML120C/YMR081C/YMR105C/YMR118C/YMR145C/YMR256C/YNL117W/YNL052W/YOR065W/YOR178C/YOR356W/YPL271W/YPR184W/YPR191W/Q0055/Q0105/Q0120",57
"GO:1902600","proton transmembrane transport","45/299","108/6447",0.416666666666667,8.98411371237458,18.4519398782761,1.56746639158175e-32,4.64492540705393e-30,3.99291438697667e-30,"YBL099W/YBL045C/YBR039W/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",45
"GO:0045333","cellular respiration","43/299","112/6447",0.383928571428571,8.27821906354515,17.134626420797,2.60181807372788e-29,5.78254066886021e-27,4.97084189875379e-27,"YBL045C/YBL030C/YDR148C/YDR178W/YDR298C/YDR529C/YEL039C/YEL024W/YFR033C/YFR049W/YGL191W/YGL187C/YGR183C/YGR244C/YHR001W-A/YHR051W/YIL125W/YJL166W/YJL116C/YJR048W/YJR120W/YJR121W/YKL148C/YKL141W/YKL109W/YKL093W/YKL085W/YLL041C/YLR038C/YLR395C/YML120C/YMR081C/YMR118C/YMR256C/YNL117W/YNL052W/YOR065W/YOR356W/YPL271W/YPR191W/Q0055/Q0105/Q0120",43
"GO:0006119","oxidative phosphorylation","28/299","41/6447",0.682926829268293,14.7251814993066,19.4415269959675,1.33810319369659e-28,2.31092488829656e-26,1.98653894843799e-26,"YDR178W/YDR298C/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJL116C/YJR048W/YJR121W/YKL148C/YKL141W/YLR038C/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YPL271W/YPR191W/Q0105/Q0120",28
"GO:0009060","aerobic respiration","40/299","98/6447",0.408163265306122,8.80076445293837,17.1597657148187,1.55967933968272e-28,2.31092488829656e-26,1.98653894843799e-26,"YBL045C/YBL030C/YDR148C/YDR178W/YDR298C/YDR529C/YEL039C/YEL024W/YFR033C/YFR049W/YGL191W/YGL187C/YGR183C/YGR244C/YHR001W-A/YHR051W/YIL125W/YJL166W/YJL116C/YJR048W/YJR121W/YKL148C/YKL141W/YKL093W/YKL085W/YLL041C/YLR038C/YLR395C/YML120C/YMR081C/YMR118C/YMR256C/YNL117W/YNL052W/YOR065W/YPL271W/YPR191W/Q0055/Q0105/Q0120",40
"GO:0098662","inorganic cation transmembrane transport","47/299","175/6447",0.268571428571429,5.79090301003345,14.1692607887038,3.78858163791711e-24,4.81149868015473e-22,4.13610566786138e-22,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR002C/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",47
"GO:0022904","respiratory electron transport chain","25/299","42/6447",0.595238095238095,12.8344481605351,16.9678534716502,2.12023903940861e-23,2.35611563254282e-21,2.02538624027718e-21,"YDR178W/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJR048W/YKL148C/YKL141W/YLL041C/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YOR356W/YPR191W/Q0105/Q0120",25
"GO:0019646","aerobic electron transport chain","23/299","35/6447",0.657142857142857,14.1692307692308,17.2270727879438,4.64946283882452e-23,4.31780612411134e-21,3.71171303783652e-21,"YDR178W/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJR048W/YKL148C/YKL141W/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YPR191W/Q0105/Q0120",23
"GO:0022900","electron transport chain","25/299","43/6447",0.581395348837209,12.535972621918,16.7369607698091,4.85692477402851e-23,4.31780612411134e-21,3.71171303783652e-21,"YDR178W/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJR048W/YKL148C/YKL141W/YLL041C/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YOR356W/YPR191W/Q0105/Q0120",25
