"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL067C",2109.90392461918,-1.55168276468999,0.104228547411895,-14.8873106573959,3.98478193607255e-50,4.63350149988252e-49
"YAL062W",11958.8603480201,1.28964476452215,0.0446631638076018,28.874908416198,2.46685444756416e-183,1.02471835407369e-181
"YAL054C",2844.27246909058,1.58482706624513,0.0727173011811723,21.7943603585699,2.62433133233779e-105,5.61695865504434e-104
"YAL044C",14312.1001759638,-1.33724100859224,0.0541853876418068,-24.6789968068898,1.79783228517989e-134,4.9569925976532e-133
"YAL039C",7435.77445472862,1.87820850940824,0.0677385766901472,27.7273099197171,3.27237920781673e-169,1.21540013636205e-167
"YNCA0001W",40.3646020064168,-1.51815622114488,0.292295965042884,-5.19390071266344,2.05932996475637e-07,5.23243838932463e-07
"YAL018C",642.264011888652,1.00509606249441,0.13972320206068,7.19348002100551,6.31603987440044e-13,2.26716746827541e-12
"YAL012W",18419.4378288739,-2.80325376398499,0.068999261657527,-40.6273008818377,0,0
"YAR009C",117.959549060085,-1.93524052158348,0.189030093112698,-10.2377377576052,1.34340789006131e-24,8.17963106831928e-24
"YNCA0004W",10.2007162459214,-2.71779447821428,0.678272165580185,-4.00693794634712,6.15110154082227e-05,0.000123373745644066
"YAR020C",1084.2406755009,1.86451256394372,0.0780839583790802,23.8783048739913,5.14740141709748e-126,1.31051179627232e-124
"YBL100W-B",492.931422036092,-1.23738696109571,0.10683983540958,-11.5817003681452,5.10238197009622e-31,3.91451272894138e-30
"YBL099W",22375.2430769462,1.75084372892466,0.0510648380836347,34.2866793400402,1.23959126099038e-257,7.98650941009513e-256
"YBL075C",7862.42909914686,2.50902428521583,0.0535662992309019,46.8396047746453,0,0
"YBL064C",15613.4623158621,1.49021613837659,0.0579182254312573,25.7296581046895,5.44571966293943e-146,1.70219177979206e-144
"YBL045C",11957.6224344904,1.93377298448496,0.0574950796484012,33.6337125943738,5.39562965867859e-248,3.21396279857515e-246
"YBL043W",2104.58854384712,1.0833952624102,0.100878446188166,10.7396109213396,6.63233016133824e-27,4.38497723965336e-26
"YBL042C",5584.27066596914,1.19772921543256,0.0675881763240577,17.7209873172185,2.88798877300924e-70,4.393918340429e-69
"YBL030C",7584.32427024066,2.39586342279167,0.0702694596689589,34.0953727846869,8.63794442563597e-255,5.34705697092799e-253
"YBL015W",7651.54639129061,1.39539766678794,0.0506870359450775,27.5296757991518,7.750944376378e-167,2.79654073099718e-165
"YBL005W-B",417.326188063663,-1.45993303902504,0.12892267439575,-11.3240983082893,9.96994886039133e-30,7.29435192404529e-29
"YBR012W-B",270.239757108588,-1.1652680978921,0.117222549690916,-9.94064794670137,2.7701933039847e-23,1.59298729702727e-22
"YBR021W",2299.56933030437,1.26169318688542,0.0563360743401571,22.3958307649788,4.32182359705912e-111,9.81582524886018e-110
"YNCB0009C",28.5572926720504,-1.27644961058146,0.340773664996696,-3.74574018386612,0.000179862668329623,0.000342683430245396
